buildingID,UnitID,verticalPos,formFactor,floorArea,AspectRatio,wwr_N,wwr_W,wwr_S,wwr_E,SE_N,SE_W,SE_S,SE_E,T_heating,NumberOfPeople,LPD,EPD,u_Wall,u_Window,u_Roof,u_GroundFloor,u_intWall,u_intFloor,SHGC,Infiltration,COP_boiler,Q_heating,heating_Ideal loads (kWh/m2)
1_0,1_0_0_0_res,0,0.282,40.2,1.756794,0.0,0.0,0.14,0.14,0.0,0.0,53.21,52.73,22.26,0.012,6.839,7.338,1.475,2.915,0.0,0.765,2.067,1.627,0.3252,0.00048,0.9,264.15007,237.735063
1_0,1_0_0_1_res,0,0.282,40.2,1.756794,0.0,0.14,0.14,0.0,0.0,61.76,58.43,0.0,20.04,0.046,4.426,3.075,1.475,2.915,0.0,0.765,2.067,1.627,0.3252,0.00048,0.9,210.024971,189.022474
1_0,1_0_0_2_res,0,0.282,40.2,1.756794,0.14,0.14,0.0,0.0,53.21,52.73,0.0,0.0,22.92,0.031,3.682,6.177,1.475,2.915,0.0,0.765,2.067,1.627,0.3252,0.00048,0.9,296.010506,266.409455
1_0,1_0_0_3_res,0,0.282,40.2,1.756794,0.14,0.0,0.0,0.14,58.41,0.0,0.0,61.76,21.68,0.049,7.918,4.241,1.475,2.915,0.0,0.765,2.067,1.627,0.3252,0.00048,0.9,242.140581,217.926523
1_0,1_0_1_0_res,1,0.282,40.2,1.756794,0.14,0.14,0.0,0.0,64.8,64.06,0.0,0.0,20.29,0.008,10.513,4.589,1.475,2.915,0.0,0.0,2.067,1.627,0.3252,0.00048,0.9,210.955711,189.86014
1_0,1_0_1_1_res,1,0.282,40.2,1.756794,0.0,0.0,0.14,0.14,0.0,0.0,64.8,64.06,21.97,0.056,8.935,3.572,1.475,2.915,0.0,0.0,2.067,1.627,0.3252,0.00048,0.9,241.436676,217.293009
1_0,1_0_1_2_res,1,0.282,40.2,1.756794,0.0,0.14,0.14,0.0,0.0,71.89,69.35,0.0,21.45,0.061,8.512,6.255,1.475,2.915,0.0,0.0,2.067,1.627,0.3252,0.00048,0.9,215.266568,193.739911
1_0,1_0_1_3_res,1,0.282,40.2,1.756794,0.14,0.0,0.0,0.14,69.38,0.0,0.0,71.89,22.5,0.032,10.37,2.381,1.475,2.915,0.0,0.0,2.067,1.627,0.3252,0.00048,0.9,275.221601,247.699441
1_0,1_0_2_0_res,2,0.616,40.2,1.756794,0.0,0.14,0.14,0.0,0.0,84.88,83.43,0.0,22.45,0.035,10.68,4.148,1.475,2.915,0.398,0.0,2.067,1.627,0.3252,0.00048,0.9,360.612506,324.551255
1_0,1_0_2_1_res,2,0.616,40.2,1.756794,0.14,0.0,0.0,0.14,83.43,0.0,0.0,84.88,22.61,0.044,4.769,3.888,1.475,2.915,0.398,0.0,2.067,1.627,0.3252,0.00048,0.9,395.836095,356.252485
