buildingID,UnitID,verticalPos,formFactor,floorArea,AspectRatio,wwr_N,wwr_W,wwr_S,wwr_E,SE_N,SE_W,SE_S,SE_E,T_heating,NumberOfPeople,LPD,EPD,u_Wall,u_Window,u_Roof,u_GroundFloor,u_intWall,u_intFloor,SHGC,Infiltration,COP_boiler,COP_cooling,Q_heating,heating_Ideal loads (kWh/m2),cooling_Ideal loads (kWh/m2),CoolEnUse (kWh/m2)
0_0,0_0_0_2_res,0,0.128,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,43.68,44.49,0.0,22.14,0.056,7.126,6.27,0.934,2.574,0.0,0.454,2.528,1.932,0.3062,0.00047,0.91,2.65,26.108652,23.758874,27.326055,10.311719
0_0,0_0_1_0_res,1,0.128,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,50.28,50.25,0.0,20.57,0.048,4.717,3.429,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,2.9,42.403775,38.587435,23.866245,8.22974
0_0,0_0_1_1_res,1,0.128,140.8,0.452849,0.24,0.24,0.0,0.0,50.25,52.7,0.0,0.0,21.39,0.051,9.433,6.867,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,3.44,30.192582,27.47525,33.223717,9.658057
0_0,0_0_2_0_res,1,0.128,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,59.14,57.61,0.0,22.11,0.025,7.323,6.059,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,2.55,24.708867,22.485069,25.59612,10.037694
0_0,0_0_2_1_res,1,0.128,140.8,0.905699,0.24,0.24,0.0,0.0,57.61,60.96,0.0,0.0,22.56,0.012,7.205,5.703,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,3.19,19.696023,17.923381,25.769477,8.078206
0_0,0_0_3_0_res,1,0.128,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,70.28,67.92,0.0,21.77,0.052,5.77,4.604,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,3.36,35.301847,32.12468,32.156142,9.57028
0_0,0_0_3_1_res,1,0.128,140.8,0.905699,0.24,0.24,0.0,0.0,67.92,71.4,0.0,0.0,20.97,0.019,4.731,5.604,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,3.09,29.706606,27.033012,33.460141,10.828524
0_0,0_0_4_0_res,1,0.128,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,84.04,82.2,0.0,21.76,0.022,3.503,5.809,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,2.62,18.623272,16.947178,42.205124,16.108826
0_0,0_0_4_1_res,1,0.128,140.8,0.905699,0.24,0.24,0.0,0.0,82.2,84.58,0.0,0.0,20.98,0.022,11.965,6.603,0.934,2.574,0.0,0.0,2.528,1.932,0.3062,0.00047,0.91,2.61,35.674666,32.463946,29.551518,11.322421
0_0,0_0_5_0_res,2,0.462,140.8,0.905699,0.0,0.24,0.24,0.0,0.0,100.0,100.0,0.0,20.09,0.022,8.69,7.488,0.934,2.574,0.524,0.0,2.528,1.932,0.3062,0.00047,0.91,2.85,56.417782,51.340182,48.101293,16.877647
0_1,0_1_1_0_res,1,0.07,260.9,0.439848,0.15,0.0,0.15,0.0,45.26,0.0,44.69,0.0,20.78,0.02,2.54,3.175,1.13,2.76,0.0,0.0,2.115,2.061,0.4557,0.00041,0.88,3.49,13.171343,11.590781,10.886545,3.119354
0_1,0_1_2_0_res,1,0.07,260.9,0.439848,0.15,0.0,0.15,0.0,54.16,0.0,53.71,0.0,20.12,0.037,3.627,2.711,1.13,2.76,0.0,0.0,2.115,2.061,0.4557,0.00041,0.88,2.74,32.201758,28.337547,14.535286,5.304849
0_1,0_1_3_0_res,1,0.07,260.9,0.439848,0.15,0.0,0.15,0.0,66.52,0.0,66.21,0.0,22.63,0.015,5.254,6.099,1.13,2.76,0.0,0.0,2.115,2.061,0.4557,0.00041,0.88,2.64,17.666491,15.546512,25.872742,9.800281
0_1,0_1_4_0_res,1,0.07,260.9,0.439848,0.15,0.0,0.15,0.0,82.89,0.0,82.77,0.0,22.62,0.015,11.866,1.763,1.13,2.76,0.0,0.0,2.115,2.061,0.4557,0.00041,0.88,2.97,15.693633,13.810397,23.006793,7.746395
0_1,0_1_5_0_res,1,0.07,260.9,0.439848,0.15,0.0,0.15,0.0,100.0,0.0,100.0,0.0,21.22,0.053,6.084,6.819,1.13,2.76,0.0,0.0,2.115,2.061,0.4557,0.00041,0.88,2.96,11.538942,10.154269,26.743467,9.034955
0_1,0_1_6_0_res,2,0.562,260.9,0.439848,0.15,0.15,0.15,0.15,100.0,100.0,100.0,100.0,20.13,0.053,4.079,3.413,1.13,2.76,0.5,0.0,2.115,2.061,0.4557,0.00041,0.88,2.55,75.427409,66.37612,59.007441,23.140173
0_2,0_2_0_1_res,0,0.068,59.4,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,44.49,0.0,20.43,0.038,8.581,2.036,0.536,2.106,0.0,0.326,2.512,1.601,0.3049,0.00033,0.91,3.22,15.288713,13.912729,8.902976,2.764899
0_2,0_2_0_2_res,0,0.068,118.8,0.841392,0.19,0.0,0.0,0.0,44.68,0.0,0.0,0.0,21.52,0.017,5.789,3.22,0.536,2.106,0.0,0.326,2.512,1.601,0.3049,0.00033,0.91,3.18,14.222219,12.942219,16.579736,5.213754
0_2,0_2_1_0_res,1,0.068,59.4,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,51.65,0.0,21.63,0.048,6.449,4.322,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,2.74,10.253362,9.33056,20.794422,7.589205
0_2,0_2_1_1_res,1,0.068,59.4,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,52.05,0.0,21.14,0.015,6.684,2.239,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,2.96,12.624598,11.488384,24.702739,8.34552
0_2,0_2_1_2_res,1,0.068,118.8,0.841392,0.19,0.0,0.0,0.0,52.04,0.0,0.0,0.0,21.72,0.015,4.664,6.234,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,2.68,12.427129,11.308687,15.08312,5.62803
0_2,0_2_2_0_res,1,0.068,59.4,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,60.79,0.0,21.6,0.035,10.434,6.704,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,3.12,9.772985,8.893417,23.034887,7.382977
0_2,0_2_2_1_res,1,0.068,59.4,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,61.38,0.0,22.14,0.026,6.504,4.364,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,3.13,9.880086,8.990878,17.475946,5.583369
0_2,0_2_2_2_res,1,0.068,118.8,0.841392,0.19,0.0,0.0,0.0,61.29,0.0,0.0,0.0,21.74,0.043,4.504,5.141,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,3.25,6.552253,5.962551,22.752666,7.00082
0_2,0_2_3_0_res,1,0.068,118.8,0.841392,0.19,0.0,0.0,0.0,73.35,0.0,0.0,0.0,20.06,0.063,7.254,3.971,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,2.88,7.306693,6.649091,29.950164,10.399362
0_2,0_2_3_1_res,1,0.068,118.8,0.420696,0.0,0.0,0.19,0.0,0.0,0.0,73.49,0.0,20.8,0.065,11.787,6.918,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,3.25,1.962024,1.785442,45.654439,14.04752
0_2,0_2_4_0_res,1,0.068,118.8,0.841392,0.19,0.0,0.0,0.0,88.05,0.0,0.0,0.0,20.54,0.045,9.26,5.472,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,3.31,7.46022,6.7888,17.054391,5.152384
0_2,0_2_4_1_res,1,0.068,118.8,0.841392,0.0,0.0,0.19,0.0,0.0,0.0,88.3,0.0,21.64,0.025,7.068,5.864,0.536,2.106,0.0,0.0,2.512,1.601,0.3049,0.00033,0.91,2.92,13.44851,12.238144,34.957463,11.971734
0_2,0_2_5_0_res,2,0.402,118.8,0.841392,0.19,0.0,0.0,0.0,100.0,0.0,0.0,0.0,22.81,0.025,11.236,6.056,0.536,2.106,0.526,0.0,2.512,1.601,0.3049,0.00033,0.91,3.11,27.983025,25.464552,51.226512,16.471547
0_3,0_3_0_0_res,0,0.0,74.7,0.935281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08,0.04,6.812,7.529,0.468,2.538,0.0,1.868,2.446,1.998,0.7502,0.00031,0.92,2.75,1.157682,1.065067,2.707579,0.984574
0_3,0_3_0_1_res,0,0.0,74.7,0.935281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.68,0.04,4.999,1.912,0.468,2.538,0.0,1.868,2.446,1.998,0.7502,0.00031,0.92,2.82,25.828056,23.761812,0.104244,0.036966
0_3,0_3_0_2_res,0,0.093,74.7,0.935281,0.17,0.0,0.0,0.0,44.47,0.0,0.0,0.0,21.16,0.036,8.198,6.331,0.468,2.538,0.0,1.868,2.446,1.998,0.7502,0.00031,0.92,3.09,10.901773,10.029631,8.06981,2.611589
0_3,0_3_0_3_res,0,0.093,74.7,0.935281,0.17,0.0,0.0,0.0,43.18,0.0,0.0,0.0,20.17,0.053,3.281,4.177,0.468,2.538,0.0,1.868,2.446,1.998,0.7502,0.00031,0.92,3.18,8.96435,8.247202,0.337759,0.106214
