Unit_ID,building_id,function,area,verticalPos,formFactor,AspectRatio,wwr_N,wwr_W,wwr_S,wwr_E,SE_N,SE_W,SE_S,SE_E,u_Wall,u_Window,u_Roof,u_GroundFloor,u_intWall,u_intFloor,EPD,LPD,NumberOfPeople,Tcooling,T_heating,Infiltration,COP_boiler,SHGC,COP_cooling,heating_Ideal loads (kWh/m2),cooling_Ideal loads (kWh/m2),Q_heating,CoolEnUse (kWh/m2)
0_0_0_0_res,0_0,residential,111.61,0,0.229,1.03821,0.2,0,0.2,0.2,78.71,0,82.88,69.69,0.437,1.717,0,0.397,1.83,1.28,6.900883315,8.391966163,0.035788996,27.01735616,21.86368013,0.000410078,0.919384091,0.359979819,2.528755819,63.46160764,11.10001632,69.02621905,4.389516867
0_0_0_1_res,0_0,residential,111.61,0,0.229,1.03821,0.2,0.2,0.2,0,82.88,69.67,78.71,0,0.437,1.717,0,0.397,1.83,1.28,4.604656099,11.68026606,0.02618709,26.46201503,20.99448646,0.000410078,0.919384091,0.359979819,2.475954706,64.1928669,10.5732268,69.82159854,4.270363579
0_0_1_0_res,0_0,residential,111.61,1,0.229,1.03821,0.2,0,0.2,0.2,83.99,0,87.38,75.15,0.437,1.717,0,0,1.83,1.28,4.777308112,6.801826214,0.065510202,26.39366657,22.41699037,0.000410078,0.919384091,0.359979819,2.69877199,76.08043135,15.66449609,82.7515204,5.804305123
0_0_1_1_res,0_0,residential,111.61,1,0.229,1.03821,0.2,0.2,0.2,0,87.38,75.17,83.99,0,0.437,1.717,0,0,1.83,1.28,1.889587627,6.865172324,0.015803472,26.24699748,20.4849475,0.000410078,0.919384091,0.359979819,3.054599172,79.90978135,12.69604423,86.91664577,4.156369957
0_0_2_0_res,0_0,residential,111.61,2,0.562,1.03821,0.2,0,0.2,0.2,90.71,0,92.65,83.86,0.437,1.717,0.887,0,1.83,1.28,2.688040788,8.490570625,0.047683832,25.76126262,20.38264321,0.000410078,0.919384091,0.359979819,3.247987108,147.1089168,28.91551688,160.0081166,8.902595951
0_0_2_1_res,0_0,residential,111.61,2,0.562,1.03821,0.2,0.2,0.2,0,92.65,83.89,90.68,0,0.437,1.717,0.887,0,1.83,1.28,2.12564872,2.758558949,0.014062169,27.1376517,20.48092972,0.000410078,0.919384091,0.359979819,3.079445654,178.4809652,23.54272788,194.1310133,7.645118804
0_1_0_0_res,0_1,residential,113.9,0,0.147,0.677907,0,0.23,0.23,0,0,80.94,92.35,0,0.322,2.122,0,0.342,1.797,1.315,3.444250967,4.962155704,0.026136078,26.74288167,22.19303064,0.000487038,0.87906926,0.674449201,2.741395031,62.95146649,15.69295821,71.61149796,5.724442495
0_1_0_1_res,0_1,residential,113.9,0,0.147,0.677907,0,0,0.23,0.23,0,0,94.35,92.86,0.322,2.122,0,0.342,1.797,1.315,6.393599777,10.32114498,0.01614216,26.43062416,20.14533139,0.000487038,0.87906926,0.674449201,2.613041041,38.58901,17.14366764,43.89757641,6.560810708
0_1_1_0_res,0_1,residential,113.9,1,0.147,0.677907,0,0.23,0.23,0,0,85.67,95.01,0,0.322,2.122,0,0,1.797,1.315,6.537272868,9.269148844,0.015399919,27.36650899,20.60076382,0.000487038,0.87906926,0.674449201,2.823060985,38.31263782,21.46718332,43.5831846,7.604222307
0_1_1_1_res,0_1,residential,113.9,1,0.147,0.677907,0,0,0.23,0.23,0,0,96.54,95.7,0.322,2.122,0,0,1.797,1.315,6.063479339,9.81562169,0.0253715,27.23038976,21.15837034,0.000487038,0.87906926,0.674449201,3.207612495,42.24531904,16.40024293,48.05687217,5.112912785
0_1_2_0_res,0_1,residential,113.9,2,0.48,0.677907,0,0.23,0.23,0,0,94.46,98.34,0,0.322,2.122,0.472,0,1.797,1.315,7.702426336,4.297600105,0.010393296,25.71557136,21.93123237,0.000487038,0.87906926,0.674449201,2.401331954,129.5230292,38.65490979,147.3410972,16.09727873
0_1_2_1_res,0_1,residential,113.9,2,0.48,0.677907,0,0,0.23,0.23,0,0,98.84,98.56,0.322,2.122,0.472,0,1.797,1.315,6.301014762,10.64794986,0.026114767,27.12178935,20.82950745,0.000487038,0.87906926,0.674449201,2.483446076,104.1253233,26.97514693,118.4495102,10.86198214
0_11_0_0_res,0_11,residential,212.88,0,0.092,1.452563,0,0.53,0.53,0.53,0,56.11,70.1,53.87,0.344,1.704,0,0.384,2.193,1.394,3.482012654,11.46820564,0.026313872,25.54646734,20.43229165,0.000389112,0.94592984,0.501543917,2.461729606,45.5354409,16.65693253,48.1382857,6.766353419
0_11_0_1_res,0_11,residential,106.43,0,0.092,0.726282,0.53,0.53,0,0,70.81,56.69,0,0,0.344,1.704,0,0.384,2.193,1.394,2.069983206,5.969044044,0.056053244,27.61211681,21.73227195,0.000389112,0.94592984,0.501543917,2.746611754,64.96314619,8.582516409,68.67649527,3.124765048
0_11_0_2_res,0_11,residential,106.44,0,0.092,0.726282,0.53,0,0,0.53,71.31,0,0,57.09,0.344,1.704,0,0.384,2.193,1.394,7.579940444,9.906731606,0.007538434,26.46966387,22.81561818,0.000389112,0.94592984,0.501543917,2.736670217,78.62372796,14.29820126,83.1179276,5.224670905
0_11_1_0_res,0_11,residential,212.88,1,0.092,1.452563,0,0.53,0.53,0.53,0,64.27,78.12,62.86,0.344,1.704,0,0,2.193,1.394,3.368640134,10.94206805,0.020525235,27.11209247,22.82699651,0.000389112,0.94592984,0.501543917,2.783616708,86.73682261,12.08874918,91.69477369,4.34282103
0_11_1_1_res,0_11,residential,106.43,1,0.092,0.726282,0.53,0.53,0,0,78.12,64.06,0,0,0.344,1.704,0,0,2.193,1.394,2.103559243,2.50062839,0.054041434,27.43259327,22.93100458,0.000389112,0.94592984,0.501543917,3.098121867,92.66645066,12.65934071,97.96334436,4.086133875
0_11_1_2_res,0_11,residential,106.44,1,0.092,0.726282,0.53,0,0,0.53,78.86,0,0,65.27,0.344,1.704,0,0,2.193,1.394,1.82105406,7.54137305,0.052436286,26.59363083,21.0153325,0.000389112,0.94592984,0.501543917,2.491947767,54.17925339,13.33153599,57.27618593,5.349845676
0_11_2_0_res,0_11,residential,212.88,2,0.426,1.452563,0,0.53,0.53,0.53,0,76.34,87.52,76.09,0.344,1.704,0.174,0,2.193,1.394,3.856399998,9.424694753,0.056378952,27.10418537,21.04542099,0.000389112,0.94592984,0.501543917,3.229239294,84.24204376,21.74198837,89.05739114,6.732851421
0_11_2_1_res,0_11,residential,106.43,2,0.426,0.726282,0.53,0.53,0,0,87.38,75.78,0,0,0.344,1.704,0.174,0,2.193,1.394,5.665397677,5.190932519,0.05083597,26.29902253,20.84017594,0.000389112,0.94592984,0.501543917,3.206505304,92.38581468,28.25515933,97.66666698,8.811823668
0_11_2_2_res,0_11,residential,106.44,2,0.426,0.726282,0.53,0,0,0.53,87.74,0,0,77.46,0.344,1.704,0.174,0,2.193,1.394,2.607606703,2.690447088,0.02408276,25.94740389,21.71117939,0.000389112,0.94592984,0.501543917,3.077292847,130.4756166,19.33669261,137.9337146,6.283669958
0_12_0_0_res,0_12,residential,103.42,0,0.156,0.705749,0,0.22,0.22,0,0,53.5,65.9,0,1.27,3.3,0,0.51,2.326,2.114,5.547303883,2.704028862,0.062765044,27.45303158,20.92382482,0.000326997,0.834405033,0.581505204,2.872793748,67.57043931,8.648076687,80.98038317,3.010336782
0_12_0_1_res,0_12,residential,103.41,0,0.156,0.705749,0.22,0.22,0,0,72.39,56.96,0,0,1.27,3.3,0,0.51,2.326,2.114,3.506368047,7.854326122,0.010256817,27.19018413,21.24564307,0.000326997,0.834405033,0.581505204,2.596104305,91.52899444,7.471366526,109.6937228,2.877914617
0_12_0_2_res,0_12,residential,103.42,0,0.156,0.705749,0.22,0,0,0.22,74.63,0,0,60.78,1.27,3.3,0,0.51,2.326,2.114,7.016281683,3.010898984,0.024637099,27.67825567,21.93162161,0.000326997,0.834405033,0.581505204,3.271609696,91.55086023,6.945055669,109.7199281,2.12282525
0_12_0_3_res,0_12,residential,103.41,0,0.156,0.705749,0,0,0.22,0.22,0,0,73.17,72.85,1.27,3.3,0,0.51,2.326,2.114,2.889139809,2.525287603,0.050651387,26.21949788,20.66172442,0.000326997,0.834405033,0.581505204,2.990341336,73.41999054,12.94537837,87.99082893,4.32906378
0_12_1_0_res,0_12,residential,103.42,1,0.156,0.705749,0.22,0,0,0.22,78.94,0,0,65.43,1.27,3.3,0,0,2.326,2.114,3.83109057,5.057444964,0.016774196,26.95715064,20.65354111,0.000326997,0.834405033,0.581505204,2.82375217,90.32807177,13.03248196,108.2544666,4.615306576
0_12_1_1_res,0_12,residential,103.42,1,0.156,0.705749,0,0.22,0.22,0,0,58.55,71.25,0,1.27,3.3,0,0,2.326,2.114,7.630904826,2.823637497,0.053695384,25.77127135,20.98776155,0.000326997,0.834405033,0.581505204,2.814500938,69.53097634,21.57925799,83.33000589,7.667170295
0_12_1_2_res,0_12,residential,103.41,1,0.156,0.705749,0.22,0.22,0,0,76.7,61.39,0,0,1.27,3.3,0,0,2.326,2.114,5.890846265,3.525732434,0.039507958,25.8954401,20.29375656,0.000326997,0.834405033,0.581505204,3.183378999,75.74942269,17.61098704,90.78255723,5.532167878
0_12_1_3_res,0_12,residential,103.41,1,0.156,0.705749,0,0,0.22,0.22,0,0,77.96,76.95,1.27,3.3,0,0,2.326,2.114,7.465200671,11.16486247,0.008916861,27.53698225,20.60368181,0.000326997,0.834405033,0.581505204,3.001146752,64.74387233,15.7130833,77.59285928,5.235693085
0_12_2_0_res,0_12,residential,103.41,2,0.489,0.705749,0.22,0.22,0,0,82.42,67.73,0,0,1.27,3.3,3.19,0,2.326,2.114,7.105440255,5.538566022,0.037776805,25.93648763,21.22525203,0.000326997,0.834405033,0.581505204,3.293143273,230.93341,50.00096734,276.7641623,15.1833562
0_12_2_1_res,0_12,residential,103.41,2,0.489,0.705749,0,0,0.22,0.22,0,0,83.64,82.34,1.27,3.3,3.19,0,2.326,2.114,4.641193206,2.565554731,0.050759398,25.64999843,21.73825955,0.000326997,0.834405033,0.581505204,3.130531119,238.3147371,60.9922298,285.6103782,19.48302939
0_12_2_2_res,0_12,residential,103.42,2,0.489,0.705749,0,0.22,0.22,0,0,65.92,78.23,0,1.27,3.3,3.19,0,2.326,2.114,4.443516167,11.98350591,0.026127697,27.58068444,22.75763185,0.000326997,0.834405033,0.581505204,2.481700224,253.0693759,40.24941915,303.2932039,16.21848552
